BVF.DL,musp.DL,B.DL,Mel.DL,O2.DL,BVF.true,musp.true,B.true,Mel.true,O2.true
2.5474,13.92284281,1.9109,0.74946,75.807,2.7778,16.667,2.2333,0.88889,68.889
2.7176,29.01939392,1.2754,0.17594,79.295,2.7778,30,1.3,0.22222,77.778
2.7271,26.45879144,1.8518,1.7215,74.402,2.7778,27.778,1.9667,1.7778,73.333
3.3527,19.82220886,1.8661,1.7917,86.895,3.2222,18.889,1.8333,1.7778,91.111
4.5422,28.09888053,1.8998,0.24593,65.198,4.5556,27.778,1.8333,0.22222,64.444
0.99025,11.95449812,1.8327,1.8657,84.94,1,12.222,1.7,1.7778,86.667
4.6405,16.61665963,2.1416,1.9083,73.91,5,16.667,2.2333,2,68.889
2.1098,9.249781941,2.3724,0.47604,83.272,1.8889,10,2.2333,0.44444,82.222
1.0053,25.83619495,2.0434,0.68168,83.538,1,25.556,2.1,0.66667,86.667
2.793,12.49049534,2.3496,0.43633,83.021,2.7778,12.222,2.3667,0.44444,86.667
2.3359,27.80957119,1.7025,0.014486,89.8,2.3333,27.778,1.7,0,91.111
4.8759,24.74250369,1.6081,0.6777,70.042,5,25.556,1.4333,0.66667,64.444
4.1591,8.668775424,1.8641,0.84855,81.574,4.1111,10,1.8333,0.88889,82.222
3.5927,30.34818604,2.2004,0.2069,74.899,3.6667,30,2.3667,0.22222,73.333
4.4101,22.68159878,1.3411,0.4544,76.209,4.1111,21.111,1.3,0.44444,77.778
2.4087,23.89356626,1.753,1.5627,76.035,2.3333,23.333,1.8333,1.5556,77.778
4.6325,11.83976787,2.25,1.4863,88.883,5,12.222,2.5,1.5556,86.667
4.413,14.17450902,2.2328,0.19488,67.595,4.5556,14.444,2.3667,0.22222,68.889
2.9634,30.45866941,1.827,1.5914,80.439,2.7778,30,1.7,1.5556,86.667
3.2342,24.84087746,2.2944,0.90663,99.568,3.2222,23.333,2.2333,0.88889,100
4.5864,12.89470554,2.2395,1.808,68.216,5,12.222,2.3667,1.7778,60
4.0771,23.84705473,2.057,2.0142,89.861,4.1111,23.333,1.9667,2,95.556
1.9649,26.70669092,2.1942,0.66615,100.65,1.8889,25.556,2.1,0.66667,100
2.1178,22.08142705,2.2547,1.8536,96.037,1.8889,21.111,2.1,1.7778,100
2.7558,13.09040009,1.5582,0.82548,63.556,2.7778,14.444,1.5667,0.88889,60
2.7291,23.92877928,1.6124,0.87255,71.904,2.7778,23.333,1.7,0.88889,68.889
5.014,26.14901376,1.9755,-0.010064,82.452,5,25.556,2.1,0,82.222
4.8094,15.2441561,1.291,1.386,89.364,4.5556,14.444,1.3,1.3333,91.111
2.5711,10.10850642,2.0688,0.29113,91.06,2.3333,10,1.5667,0.22222,91.111
3.4899,11.81900225,1.8932,0.26294,71.385,3.2222,12.222,1.5667,0.22222,73.333
2.3193,24.04960035,2.124,0.47416,94.246,2.3333,23.333,2.1,0.44444,95.556
4.8183,23.74026147,1.6756,1.5505,91.093,5,23.333,1.7,1.5556,91.111
3.3213,9.270177746,1.9019,0.86254,62.751,3.2222,10,1.7,0.88889,60
4.5973,27.51340553,1.2937,-0.0089546,86.816,4.5556,27.778,1.3,0,86.667
1.3164,12.20473234,2.4336,0.83174,82.952,1,10,2.1,0.66667,86.667
1.4098,18.36279238,2.1838,1.7151,88.668,1.4444,18.889,2.3667,1.7778,86.667
2.3009,24.68670316,1.2359,1.7219,66.283,2.3333,25.556,1.3,1.7778,64.444
3.1266,31.92584945,2.2826,1.6701,95.044,2.7778,30,1.9667,1.5556,100
3.6388,12.31180867,2.2615,1.5279,84.035,3.6667,12.222,2.3667,1.5556,82.222
2.5331,25.55669361,1.5081,0.79062,69.257,2.7778,30,1.7,0.88889,60
4.0846,25.80298083,1.6581,1.3238,76.573,4.1111,25.556,1.7,1.3333,77.778
3.987,17.72680627,1.879,0.84294,67.404,4.1111,18.889,1.9667,0.88889,60
2.5308,16.79209798,2.2322,-0.046105,65.855,2.3333,16.667,2.1,0,64.444
1.2348,14.73038872,1.9845,1.3497,78.059,1.4444,14.444,2.1,1.3333,77.778
3.2235,10.19383732,1.7706,1.9389,70.104,3.2222,10,1.8333,2,64.444
4.9485,14.39146158,1.5059,1.5641,80.273,5,14.444,1.5667,1.5556,77.778
4.7509,18.23978676,1.955,0.49915,86.027,4.5556,16.667,1.9667,0.44444,91.111
1.2008,9.614847877,2.0377,1.1675,71.812,1.4444,10,1.8333,1.1111,73.333
4.8988,25.62024775,1.9255,0.24674,94.608,5,25.556,1.9667,0.22222,95.556
2.9692,19.89927212,1.4751,1.8317,82.693,2.7778,18.889,1.4333,1.7778,86.667
3.7429,10.37338361,1.8878,1.6676,68.888,3.6667,10,1.8333,1.5556,60
1.4739,11.15602087,1.731,1.6099,74.328,1.4444,10,1.4333,1.3333,82.222
2.7008,15.04140025,1.721,0.8053,69.341,2.7778,16.667,1.8333,0.88889,64.444
4.6179,23.28460811,2.2153,1.1369,70.852,5,23.333,2.3667,1.1111,64.444
3.6782,24.56994155,2.3747,1.3652,87.54,3.6667,23.333,2.5,1.3333,86.667
2.9843,20.93131347,1.4721,0.96542,84.777,2.7778,18.889,1.3,0.88889,91.111
4.2852,11.40436289,2.2101,1.6779,99.631,4.5556,12.222,2.3667,1.7778,100
2.8332,16.34755767,1.8499,1.9092,79.935,2.7778,16.667,1.9667,2,82.222
2.7666,15.44883379,2.2198,1.3482,74.567,2.7778,14.444,2.3667,1.3333,68.889
4.029,27.20136505,1.8718,1.081,96.44,4.1111,27.778,1.8333,1.1111,95.556
2.3508,24.05523226,1.8118,0.45466,85.097,2.3333,23.333,1.8333,0.44444,86.667
2.7196,27.38964778,1.6199,0.18221,74.111,2.7778,27.778,1.7,0.22222,73.333
1.1998,12.1757541,1.6866,1.246,79.813,1.4444,12.222,1.4333,1.1111,86.667
4.173,23.34231698,1.8931,0.21323,94.722,4.1111,23.333,1.8333,0.22222,95.556
1.4214,14.25327077,2.0236,0.049821,68.59,1.4444,14.444,1.9667,0,68.889
4.2772,18.57112092,2.0002,1.4116,92.23,4.1111,16.667,1.9667,1.3333,91.111
2.5575,27.50161989,1.5653,1.412,77.316,2.3333,25.556,1.4333,1.3333,82.222
2.8623,20.64121832,1.3943,1.9051,70.393,2.7778,21.111,1.4333,2,73.333
4.3737,11.84645528,2.2479,1.8429,72.726,5,12.222,2.5,2,68.889
1.5749,19.44434713,2.0039,0.77461,68.38,1.4444,16.667,1.7,0.66667,77.778
0.89586,23.88641974,1.4435,1.7573,66.129,1,23.333,1.4333,1.7778,60
3.2126,29.29650705,2.2782,0.44069,94.537,3.2222,30,2.2333,0.44444,95.556
4.7375,21.42253158,1.5929,0.72082,85.009,4.5556,18.889,1.5667,0.66667,91.111
4.7203,17.55542717,1.7262,1.8223,71.995,5,18.889,1.8333,2,73.333
1.074,26.03753166,2.0656,0.27604,97.083,1,25.556,1.8333,0.22222,100
3.679,12.25417228,2.4185,1.9019,92.797,3.6667,12.222,2.5,2,95.556
2.2325,19.92508532,1.7619,1.0519,75.594,2.3333,21.111,1.9667,1.1111,68.889
2.8602,20.52775585,1.4609,1.3927,61.33,2.7778,18.889,1.5667,1.3333,60
3.3503,16.75336166,1.7095,1.7603,90.33,3.2222,16.667,1.7,1.7778,95.556
5.0759,12.52221211,2.104,0.65775,97.171,5,12.222,2.2333,0.66667,100
3.227,16.77629717,2.1948,0.016363,74.182,3.2222,16.667,2.1,0,73.333
2.6471,27.88982128,1.2258,1.9343,58.512,2.7778,30,1.3,2,60
2.7698,29.73476186,1.7515,0.17873,59.626,2.7778,30,1.5667,0.22222,60
4.4517,11.40447607,1.7384,1.5257,86.49,4.5556,12.222,1.8333,1.5556,86.667
4.7704,16.91924587,1.9933,1.5348,70.953,5,16.667,2.1,1.5556,64.444
1.488,26.13454373,1.9022,1.8765,76.239,1.4444,27.778,1.9667,2,77.778
4,25.44493216,2.1538,-0.003996,82.426,4.1111,25.556,2.5,0,82.222
4.7145,27.15737952,1.3666,0.83059,94.487,5,30,1.3,0.88889,95.556
4.1893,17.1715611,1.6733,1.55,87.306,4.1111,16.667,1.7,1.5556,86.667
1.0716,27.93751599,1.9135,1.2924,71.225,1,30,2.1,1.3333,60
4.9679,23.98758109,2.3453,0.44721,91.866,5,23.333,2.5,0.44444,91.111
1.3887,11.00494298,2.161,-0.14198,88.902,1.4444,12.222,2.5,0,86.667
2.2839,29.87099185,2.4109,0.46996,100.5,2.3333,30,2.3667,0.44444,100
1.8575,15.61298224,1.3211,1.4678,73.24,1.8889,14.444,1.3,1.3333,77.778
2.5803,11.7140213,1.7642,0.72456,65.667,2.7778,14.444,1.9667,0.88889,60
3.0679,11.94457689,1.9288,0.7306,79.94,3.2222,14.444,2.1,0.88889,77.778
4.6719,22.01213323,2.1622,0.77404,89.829,4.5556,18.889,2.1,0.66667,95.556
2.7226,16.21777062,2.0219,0.19563,71.925,2.7778,16.667,2.1,0.22222,73.333
3.5275,14.07342768,2.3414,1.0266,81.825,3.6667,14.444,2.5,1.1111,73.333
2.977,18.33031539,1.623,1.6772,86.161,2.7778,16.667,1.5667,1.5556,91.111
5.0897,18.73626807,1.4931,0.18134,76.306,5,18.889,1.5667,0.22222,77.778
3.3456,23.4267938,2.134,0.80231,90.551,3.6667,25.556,2.5,0.88889,86.667
3.6796,14.29962256,2.0863,1.098,100.43,3.6667,14.444,2.1,1.1111,95.556
1.3099,26.42326537,1.9023,0.78337,94.321,1.4444,30,2.2333,0.88889,91.111
1.7283,24.25460061,2.3652,1.6028,95.704,1.4444,23.333,2.2333,1.5556,100
3.4689,8.00934412,2.3589,0.088278,78.439,3.6667,10,2.3667,0.22222,73.333
3.1642,8.880498582,2.2443,1.0171,79.819,3.2222,10,2.2333,1.1111,77.778
4.0702,24.16186136,2.1988,1.5798,93.732,4.1111,23.333,2.2333,1.5556,95.556
5.2022,18.84426976,1.7065,0.15634,64.675,5,18.889,1.5667,0.22222,64.444
1.1945,18.71881369,2.2114,0.0088521,97.132,1,18.889,2.2333,0,95.556
4.7976,13.44533254,2.0067,1.2253,66.156,4.5556,12.222,1.8333,1.1111,60
3.3629,12.63880898,2.3106,1.3892,95.386,3.2222,12.222,2.2333,1.3333,95.556
1.1971,9.353538921,2.1884,0.44391,83.623,1,10,2.1,0.44444,77.778
3.8713,26.74610628,1.9128,1.7676,67.591,4.1111,27.778,1.9667,1.7778,64.444
4.3759,30.42781261,2.0783,1.4053,66.463,4.5556,30,2.1,1.3333,64.444
4.2938,28.05613469,1.7246,1.7456,76.67,4.5556,30,1.7,1.7778,77.778
4.2627,23.49486179,1.5911,0.020202,62.682,4.1111,23.333,1.3,0,64.444
3.2643,11.10707334,1.7385,0.84364,84.681,3.2222,12.222,1.7,0.88889,86.667
2.5593,30.8309006,1.8399,1.3487,79.375,2.3333,30,1.7,1.3333,82.222
4.1364,17.59311212,2.2343,0.48181,64.926,4.1111,16.667,2.2333,0.44444,68.889
2.4532,25.28884828,2.0198,0.769,95.146,2.7778,30,2.5,0.88889,86.667
1.8893,27.49440225,1.8027,0.42365,74.177,1.8889,27.778,1.9667,0.44444,73.333
4.521,23.9017312,2.2923,0.43043,86.609,4.5556,23.333,2.5,0.44444,86.667
4.5436,26.02532395,1.4887,0.80914,81.756,5,30,1.5667,0.88889,77.778
2.9647,20.49028559,1.3454,1.6528,81.295,2.7778,18.889,1.3,1.5556,82.222
1.7175,10.83199179,2.5018,0.77974,79.763,1.4444,10,2.3667,0.66667,86.667
2.666,26.38730631,1.2323,1.9268,59.602,2.7778,27.778,1.3,2,60
3.6713,25.80071454,1.783,0.66079,82.097,3.6667,25.556,1.8333,0.66667,82.222
5.1277,12.23255443,1.8949,0.91691,68.232,5,12.222,1.8333,0.88889,64.444
3.1238,12.05186626,2.2202,0.76533,51.839,2.7778,10,1.8333,0.66667,64.444
2.1535,10.31107337,1.7047,1.8401,78.795,1.8889,10,1.5667,1.7778,86.667
1.0541,10.11111157,2.0084,0.94857,75.062,1.4444,12.222,2.2333,1.1111,68.889
1.6715,8.421398822,2.4276,0.4585,102.33,1.4444,10,2.5,0.44444,95.556
3.2428,12.73124569,2.4287,1.5652,86.759,3.2222,12.222,2.5,1.5556,86.667
2.9062,15.03071698,1.2739,1.6184,66.372,2.7778,14.444,1.3,1.5556,60
3.851,24.27036415,2.3226,0.85163,97.657,4.1111,25.556,2.5,0.88889,95.556
3.1755,27.43294345,1.9192,0.43592,65.372,3.2222,27.778,1.9667,0.44444,64.444
2.9912,28.93917194,2.5556,1.3825,100.8,2.7778,27.778,2.5,1.3333,100
1.4332,24.87611584,1.7756,1.3161,73.73,1.4444,25.556,1.8333,1.3333,73.333
1.0152,30.50770054,1.7589,0.20677,70.055,1,30,1.3,0.22222,68.889
4.1731,30.40416368,2.4861,0.21377,95.743,4.1111,30,2.5,0.22222,95.556
2.6559,10.56894668,1.6665,1.9943,72.401,2.3333,10,1.5667,2,64.444
4.4148,23.48039498,2.0116,1.7733,98.72,4.5556,23.333,1.9667,1.7778,100
2.7427,27.70947773,2.501,0.4751,100.41,2.7778,27.778,2.5,0.44444,100
3.1465,22.04151009,1.6462,1.0364,73.493,3.2222,23.333,1.8333,1.1111,68.889
4.5418,27.99585087,2.1339,1.9962,69.432,5,30,2.1,2,68.889
4.8507,30.43497145,1.5551,0.28609,82.566,5,30,1.5667,0.22222,82.222
1.4722,26.75921531,1.5479,1.7515,74.665,1.4444,27.778,1.4333,1.7778,82.222
2.4133,24.03247023,1.7794,1.1219,86.085,2.3333,23.333,1.7,1.1111,86.667
2.6032,10.31219651,1.9164,0.011322,74.46,2.7778,10,1.9667,0,73.333
4.2214,23.09285841,2.2704,1.519,80.889,4.5556,23.333,2.5,1.5556,77.778
3.6788,13.87185983,1.8953,1.8691,81.361,3.6667,14.444,1.9667,2,82.222
2.5961,8.012039061,2.1575,0.070242,75.677,2.7778,10,2.2333,0.22222,68.889
1.1572,15.54181701,2.1329,0.51228,76.181,1,14.444,1.7,0.44444,77.778
4.2076,9.937456722,1.9352,0.29198,66.468,3.6667,10,1.4333,0.22222,68.889
3.791,18.63730743,1.8836,1.4045,70.117,3.6667,16.667,1.9667,1.3333,68.889
4.3182,26.48196303,1.8432,1.744,81.876,4.5556,27.778,1.8333,1.7778,82.222
4.2428,11.81076698,2.2764,0.19168,69.408,4.5556,12.222,2.3667,0.22222,68.889
5.1721,11.29053425,1.6747,0.85723,65.409,4.5556,10,1.4333,0.66667,73.333
4.4151,13.60044427,2.255,1.0172,104.39,4.5556,14.444,2.3667,1.1111,95.556
3.6878,11.98100305,1.7381,0.02178,79.548,3.6667,12.222,1.7,0,77.778
5.0168,17.38823354,1.3939,1.8127,70.601,5,16.667,1.3,1.7778,68.889
1.478,19.23410662,1.6477,0.29046,75.778,1.4444,18.889,1.4333,0.22222,73.333
3.9676,25.81127352,1.699,0.64852,69.055,4.1111,27.778,1.7,0.66667,64.444
2.8904,23.89613596,2.2834,1.573,88.43,2.7778,23.333,2.3667,1.5556,86.667
4.0807,17.23874046,2.0765,0.56834,92.079,3.6667,14.444,1.8333,0.44444,100
4.8294,18.92193114,1.6945,-0.041993,91.881,5,18.889,1.8333,0,91.111
4.7472,25.65754991,1.9736,0.73878,92.243,4.5556,23.333,1.8333,0.66667,95.556
3.8251,12.190662,2.3612,0.61418,94.854,3.2222,10,1.8333,0.44444,100
1.8344,19.8811005,2.1544,0.23214,96.679,1.8889,21.111,2.5,0.22222,95.556
4.6939,24.86203207,1.825,1.1287,66.127,5,25.556,1.8333,1.1111,60
0.77908,17.17808344,1.928,1.518,77.76,1,16.667,2.1,1.5556,68.889
4.7013,20.93071411,2.0365,0.70064,71.879,5,21.111,2.1,0.66667,68.889
0.87295,29.51655725,1.7427,0.00097706,70.351,1,30,1.8333,0,68.889
0.70713,18.15041625,1.7059,1.6541,73.297,1,18.889,1.9667,1.7778,60
2.2906,22.98669329,2.1558,0.24264,93.857,2.3333,23.333,2.3667,0.22222,95.556
4.859,21.925562,1.7167,1.6142,64.174,5,21.111,1.7,1.5556,60
1.3044,26.45458389,1.5706,0.91293,73.461,1.4444,25.556,1.5667,0.88889,73.333
4.0011,28.33342708,1.3339,1.0719,67.836,4.1111,30,1.3,1.1111,64.444
4.5884,25.83524885,1.8593,1.9469,73.328,5,27.778,1.8333,2,73.333
4.5635,14.90984954,1.6313,1.8097,68.454,4.5556,14.444,1.5667,1.7778,64.444
1.5689,29.04122691,2.1132,0.25835,98.387,1.4444,30,1.9667,0.22222,95.556
4.3596,29.35309801,1.8323,0.44351,81.493,4.5556,30,1.9667,0.44444,82.222
0.97895,16.85870453,1.8846,-0.02993,72.261,1,16.667,1.7,0,73.333
1.4916,23.42486437,1.954,0.034408,62.875,1.4444,23.333,1.7,0,64.444
2.2843,25.82209388,2.1869,0.47082,96.677,2.3333,25.556,2.2333,0.44444,95.556
1.3702,26.78707833,1.9642,0.58847,87.668,1.4444,30,2.3667,0.66667,86.667
1.494,30.96323508,1.7598,-0.034265,94.635,1.4444,30,1.3,0,95.556
0.9744,9.520698419,1.7928,1.7809,72.682,1,10,1.8333,1.7778,60
4.6942,24.27995047,1.6145,0.84207,91.591,5,25.556,1.7,0.88889,91.111
4.4175,16.07315404,2.1961,0.16992,72.426,4.5556,16.667,2.5,0.22222,73.333
2.9382,26.5674579,1.4376,0.74095,57.426,2.7778,23.333,1.3,0.66667,60
3.2306,9.48624394,2.1211,1.5105,68.715,3.2222,10,2.2333,1.5556,60
3.5757,26.52279909,1.8793,0.63808,87.867,3.6667,27.778,1.9667,0.66667,86.667
2.7334,27.77063684,1.277,0.86744,72.637,2.7778,27.778,1.3,0.88889,68.889
3.6002,28.87679951,1.5325,1.5462,63.86,3.6667,30,1.5667,1.5556,64.444
2.9684,12.12472777,2.0817,1.9235,87.34,2.7778,12.222,2.1,2,95.556
4.8514,8.867766459,1.4219,0.9491,89.368,4.5556,10,1.3,0.88889,86.667
2.7549,27.78834125,2.0109,0.17772,63.474,2.7778,27.778,2.1,0.22222,64.444
0.9522,28.86384229,1.8395,0.86044,92.681,1,30,1.8333,0.88889,91.111
2.7383,20.72532302,2.1547,0.42999,63.938,2.7778,21.111,2.3667,0.44444,64.444
3.2057,30.10357672,1.934,0.20443,60.465,3.2222,30,1.7,0.22222,60
4.6321,14.45634849,1.9178,1.9188,68.985,5,14.444,1.9667,2,64.444
3.9993,11.2207922,2.0628,0.18907,72.49,4.1111,12.222,2.1,0.22222,73.333
3.8234,21.22604675,1.6344,0.032124,100.59,3.6667,21.111,1.3,0,100
1.6854,23.61472357,1.9111,0.79541,89.311,1.8889,25.556,2.2333,0.88889,86.667
3.4516,17.38510019,1.9408,2.013,91.952,3.2222,16.667,1.8333,2,100
1.2902,14.66609694,2.0259,0.5965,60.701,1.4444,16.667,2.3667,0.66667,64.444
4.5534,24.17533715,1.8248,0.6936,80.041,4.5556,23.333,1.8333,0.66667,82.222
2.3835,25.7054525,2.143,0.91518,97.308,2.3333,23.333,1.9667,0.88889,100
1.2378,20.67283035,2.2515,0.7296,85.102,1,18.889,1.9667,0.66667,91.111
1.7275,28.25349914,1.2493,0.89076,64.709,1.8889,30,1.3,0.88889,60
1.8583,9.846683486,1.9048,1.4421,70.945,1.8889,10,1.8333,1.3333,73.333
4.9627,18.83805854,2.0179,0.18165,81.899,5,18.889,2.2333,0.22222,82.222
2.4075,12.14253956,1.6668,1.2206,86.809,2.3333,12.222,1.4333,1.1111,91.111
3.953,15.31114832,1.4022,1.1851,64.724,3.6667,14.444,1.3,1.1111,60
0.97025,15.6733677,2.1009,0.24561,100.86,1,14.444,1.4333,0.22222,100
3.5125,10.70998474,1.8562,1.8873,89.393,3.2222,10,1.7,1.7778,100
2.6351,29.77773956,2.52,1.581,95.514,2.3333,30,2.5,1.5556,95.556
1.439,14.31386214,2.1087,0.064022,58.946,1.4444,14.444,1.9667,0,60
3.6774,29.97753383,1.5388,1.3557,60.7,3.6667,30,1.5667,1.3333,60
0.92789,11.76836558,2.2753,1.0673,79.53,1,10,1.8333,0.88889,86.667
0.84021,11.61026438,2.2951,1.1177,97.456,1,12.222,2.2333,1.1111,95.556
4.8884,23.91453388,1.6013,1.5968,65.096,5,23.333,1.5667,1.5556,64.444
4.8323,10.87645345,2.1264,0.74988,78.049,5,12.222,2.2333,0.88889,73.333
4.8368,19.45252716,1.9911,1.5299,91.813,5,18.889,2.1,1.5556,91.111
2.25,22.19478476,1.6637,1.8721,68.346,2.3333,23.333,1.8333,2,64.444
4.0594,24.35233027,1.3883,1.6035,60.799,4.1111,23.333,1.4333,1.5556,60
3.8942,10.98967252,2.1977,1.4982,89.46,3.6667,10,2.1,1.3333,95.556
2.7538,29.86566672,2.0971,0.18502,72.552,2.7778,30,2.3667,0.22222,73.333
0.86185,26.25479464,1.8475,0.82432,89.239,1,27.778,2.1,0.88889,86.667
3.3737,11.57016833,1.5047,1.1248,83.769,3.2222,12.222,1.4333,1.1111,82.222
3.9738,17.8145093,2.0643,1.0275,93.449,4.1111,18.889,2.2333,1.1111,86.667
4.4583,27.67190703,1.3923,0.24264,73.752,4.5556,27.778,1.4333,0.22222,73.333
2.9656,13.33830634,2.2289,0.6861,53.027,2.3333,10,1.5667,0.44444,64.444
5.2249,11.14991146,1.3727,0.85839,89.688,5,12.222,1.4333,0.88889,86.667
3.7971,9.622883843,2.1013,1.1679,93.643,3.6667,10,1.9667,1.1111,95.556
3.0058,14.13444101,2.3563,0.52792,86.093,2.7778,12.222,2.1,0.44444,91.111
4.785,16.92124044,2.1292,1.2683,91.571,5,16.667,2.3667,1.3333,91.111
3.1974,18.95866864,2.3336,-0.023748,70.908,3.2222,18.889,2.3667,0,68.889
1.3644,24.57748638,2.1356,0.83608,83.542,1,18.889,1.4333,0.66667,91.111
2.2888,27.77296145,1.5675,1.6925,60.982,2.3333,30,1.7,1.7778,60
4.1578,13.94690784,2.3683,1.4187,68.637,4.1111,12.222,2.3667,1.3333,64.444
2.9204,21.56898842,2.4323,2.0186,94.725,2.7778,21.111,2.3667,2,95.556
3.002,25.07538539,2.109,0.99277,84.221,3.2222,27.778,2.5,1.1111,73.333
2.3251,25.74929449,2.1423,1.4591,76.064,2.3333,27.778,2.5,1.5556,68.889
3.6513,27.56821787,2.1429,0.018855,58.327,3.6667,27.778,1.9667,0,60
1.6033,24.41147861,2.3497,1.5028,93.145,1.4444,25.556,2.5,1.5556,91.111
3.1056,27.94632513,1.7012,1.7231,65.693,3.2222,30,1.8333,1.7778,64.444
3.3304,24.73190784,1.4206,0.45028,74.865,3.2222,23.333,1.4333,0.44444,77.778
1.3506,24.10691944,1.807,0.6195,75.065,1.4444,25.556,2.1,0.66667,73.333
0.99531,16.76826066,2.1914,0.23576,97.415,1,16.667,2.3667,0.22222,95.556
3.6591,25.3243844,1.7571,0.67525,64.868,3.6667,25.556,1.7,0.66667,60
0.68059,12.09776437,2.0772,1.0843,80.697,1,12.222,2.1,1.1111,77.778
3.3798,16.28255385,2.048,1.9281,93.609,3.2222,16.667,1.9667,2,100
1.3928,28.1469947,1.607,0.95248,78.027,1.4444,25.556,1.4333,0.88889,82.222
2.6893,15.29821347,1.675,0.86755,54.238,2.3333,12.222,1.3,0.66667,68.889
2.9326,12.74826989,2.6351,0.77021,97.361,2.7778,12.222,2.5,0.66667,100
1.0823,26.11586397,1.7531,0.73606,65.988,1,23.333,1.4333,0.66667,68.889
5.0021,15.14325107,1.2638,0.77626,83.706,5,16.667,1.4333,0.88889,77.778
1.9731,29.04605144,1.358,1.558,59.676,1.8889,30,1.3,1.5556,60
2.273,21.0849538,1.9353,-0.013697,82.297,2.3333,21.111,2.1,0,82.222
3.4422,18.45028408,1.4365,1.6549,71.08,3.2222,16.667,1.4333,1.5556,68.889
3.2349,29.20787431,2.1648,0.031384,59.035,3.2222,30,1.9667,0,60
4.4284,29.87748057,2.5673,1.8792,101.24,4.5556,30,2.3667,1.7778,100
2.8564,24.39876541,2.3994,0.65912,100.32,2.7778,23.333,2.3667,0.66667,100
3.0141,27.32727769,1.3738,1.9167,62.006,3.2222,30,1.4333,2,60
3.872,25.17567292,2.0879,1.5443,69.468,4.1111,25.556,2.2333,1.5556,64.444
4.3279,23.56528422,1.8336,1.5494,74.143,4.5556,23.333,1.9667,1.5556,73.333
1.0965,13.09131314,2.3906,1.233,85.481,1,10,1.7,0.88889,95.556
2.7486,17.55989791,2.1431,1.3151,67.969,2.7778,16.667,2.3667,1.3333,60
1.4983,19.14772277,2.0398,1.5022,88.971,1.4444,16.667,1.8333,1.3333,95.556
0.87245,20.95646413,1.725,1.6942,74.033,1,21.111,1.8333,1.7778,64.444
2.075,11.24620519,2.3424,0.75381,63.955,1.8889,10,2.1,0.66667,77.778
3.7541,17.16563211,2.0539,0.025997,100.58,3.6667,16.667,1.8333,0,100
4.6992,28.38580826,1.6948,1.0844,80.995,5,30,1.7,1.1111,77.778
3.6857,25.63639624,2.3186,0.2195,96.801,3.6667,25.556,2.3667,0.22222,95.556
2.2926,25.74148666,1.8991,-0.011749,78.793,2.3333,25.556,2.1,0,77.778
4.1263,9.771498718,1.5199,1.6611,87.445,4.1111,10,1.4333,1.5556,91.111
4.7914,28.63492578,1.4679,0.43524,77.505,5,30,1.4333,0.44444,77.778
3.4506,18.93473705,2.6324,1.4909,104.53,3.2222,16.667,2.5,1.3333,100
1.8763,26.1782815,1.788,1.1222,88.795,1.8889,25.556,1.7,1.1111,91.111
2.8288,29.743518,1.7604,0.65577,94.175,2.7778,30,1.5667,0.66667,95.556
3.5623,10.06716452,1.8207,-0.078214,85.857,4.1111,10,2.2333,0,82.222
